code|name|active
10152004|{"en_US":"PLÁNTULAS DE LATIFOLIADOS"}|True
10152005|{"en_US":"PLÁNTULAS DE CONÍFERAS"}|True
10152006|{"en_US":"SEMILLAS O YEMAS DE PINO"}|True
10152007|{"en_US":"SEMILLAS O YEMAS DE ALGARROBO"}|True
10152101|{"en_US":"EXTRACCIÓN DE LOS RESIDUOS DE SEMILLA DE BABOOL"}|True
10152102|{"en_US":"RESIDUOS DE SEMILLA DE COLZA"}|True
10152103|{"en_US":"RESIDUO DE SEMILLAS DE LINAZA"}|True
10152104|{"en_US":"TORTA DE NEEM"}|True
10152201|{"en_US":"SEMILLAS O PLÁNTULAS DE ALGODÓN"}|True
10152202|{"en_US":"SEMILLAS O PLÁNTULAS DE LINO"}|True
10161501|{"en_US":"ACEITUNOS"}|True
10161502|{"en_US":"CAFETOS"}|True
10161503|{"en_US":"CACAOTEROS"}|True
10161504|{"en_US":"MANZANOS"}|True
10161505|{"en_US":"PEROS"}|True
10161506|{"en_US":"NARANJOS"}|True
10161507|{"en_US":"RODODENDROS"}|True
10161508|{"en_US":"PLANTAS DE TE"}|True
10161509|{"en_US":"CONÍFERAS"}|True
10161510|{"en_US":"ABETOS ROJOS (PÍCEAS)"}|True
10161511|{"en_US":"PINOS"}|True
10161512|{"en_US":"ABETOS"}|True
10161513|{"en_US":"PALMERAS"}|True
10161514|{"en_US":"CASUARINA"}|True
10161515|{"en_US":"CIPRÉS"}|True
10161516|{"en_US":"EUCALIPTO"}|True
10161517|{"en_US":"ÁRBOL DE QUINUA"}|True
10161518|{"en_US":"MAGNOLIO"}|True
10161519|{"en_US":"MIOPORO"}|True
10161520|{"en_US":"ACALIFA"}|True
10161521|{"en_US":"TECOMARIA CAPENSIS O MADRESELVA DEL CABO"}|True
10161522|{"en_US":"ARBUSTO CROTON BOLAINA"}|True
10161523|{"en_US":"ABUTILLÓN"}|True
10161524|{"en_US":"FICUS"}|True
10161525|{"en_US":"LÚCUMO"}|True
10161526|{"en_US":"AGUACATAL"}|True
10161527|{"en_US":"GUANÁBANO"}|True
10161528|{"en_US":"CARAMBOLO"}|True
10161529|{"en_US":"CIRUELO"}|True
10161530|{"en_US":"ÁRBOL DE QUINCE"}|True
10161602|{"en_US":"POINSETTIAS"}|True
10161604|{"en_US":"AZALEAS"}|True
10161605|{"en_US":"CACTOS"}|True
10161606|{"en_US":"AGERATUM PÚRPURA"}|True
10161801|{"en_US":"HELECHOS"}|True
10161802|{"en_US":"HIEDRAS"}|True
10161803|{"en_US":"FILODENDROS"}|True
10161804|{"en_US":"LÍQUENES"}|True
10161805|{"en_US":"VIDES"}|True
10161901|{"en_US":"VAINAS SECAS"}|True
10161902|{"en_US":"FOLLAJE SECO"}|True
10161903|{"en_US":"HELECHOS SECOS"}|True
10161905|{"en_US":"RAMAS Y TALLOS SECOS"}|True
10161906|{"en_US":"PENACHOS DE GRAMÍNEAS SECOS"}|True
10161907|{"en_US":"FLORES SECAS PRENSADAS"}|True
10161908|{"en_US":"PÉTALOS SECOS"}|True
10171501|{"en_US":"ESTIÉRCOL O GUANO"}|True
10171502|{"en_US":"HORMONAS PARA PLANTAS"}|True
10171503|{"en_US":"HARINA DE PESCADO"}|True
10171504|{"en_US":"ABONO"}|True
10171505|{"en_US":"NUTRIENTE FOLIAR"}|True
10171506|{"en_US":"HUMUS"}|True
10171601|{"en_US":"FERTILIZANTE NITROGENADO"}|True
10171602|{"en_US":"FERTILIZANTE DE POTASIO"}|True
10171603|{"en_US":"FERTILIZANTE DE FÓSFORO"}|True
10171604|{"en_US":"FERTILIZANTE DE SULFURO"}|True
10171605|{"en_US":"MEZCLAS DE NITRÓGENO – FÓSFORO – POTASIO – NPK"}|True
10171606|{"en_US":"FERTILIZARTE DE SÍLICE PURO"}|True
10171607|{"en_US":"FERTILIZANTE CON MAGNESIO"}|True
10171608|{"en_US":"FERTILIZANTE MICRO ELEMENTO"}|True
10171609|{"en_US":"FERTILIZANTE FOSFATO DE SÍLICE"}|True
10171610|{"en_US":"FERTILIZANTE POTASIO DE SÍLICE"}|True
10171611|{"en_US":"FERTILIZANTE DE CALCIO"}|True
10171701|{"en_US":"MATAMALEZAS"}|True
10171702|{"en_US":"FUNGICIDAS"}|True
10171801|{"en_US":"ACONDICIONADOR ORGÁNICO DE SUELOS"}|True
10171802|{"en_US":"ACONDICIONADOR INORGÁNICO DE SUELOS"}|True
10191506|{"en_US":"MATA – ROEDORES "}|True
10191507|{"en_US":"REPELENTES DE AVES"}|True
10191508|{"en_US":"PROTECTORES CONTRA TERMITAS"}|True
10191509|{"en_US":"INSECTICIDAS"}|True
10191510|{"en_US":"ABAMECTINA"}|True
10191511|{"en_US":"FIPRONIL"}|True
10191701|{"en_US":"TRAMPAS PARA CONTROL ANIMAL"}|True
10191703|{"en_US":"TRAMPAS PARA EL CONTROL DE INSECTOS VOLADORES"}|True
10191704|{"en_US":"MATAMOSCAS"}|True
10191705|{"en_US":"LAZOS"}|True
10191706|{"en_US":"CEPOS"}|True
10191707|{"en_US":"REPELENTE ULTRASÓNICO DE PESTES"}|True
10201501|{"en_US":"ROSAL VIVO ALLURE O STERLING 95"}|True
10201502|{"en_US":"ROSAL VIVO AMNESIA"}|True
